Categoria,Cantabria - 2013,Cantabria - 2014,Cantabria - 2015,Cantabria - 2016,Cantabria - 2017,Cantabria - 2018, - Indicadores,España - 2013,España - 2014,España - 2015,España - 2016,España - 2017,España - 2018
Índice de Cobertura (nº de plazas/población>=65)*100.,4.78,4.72,4.69,4.63,4.85,4.8,Total,4.52,4.41,4.4,4.39,4.34,4.32
Índice de Cobertura (nº de plazas/población>=65)*100.,4.75,4.69,4.66,4.6,4.83,4.78,Centros residenciales,4.4,4.3,4.3,4.28,4.23,4.21
Índice de Cobertura (nº de plazas/población>=65)*100.,0.03,0.03,0.03,0.03,0.03,0.03,Viviendas para mayores,0.12,0.1,0.1,0.11,0.12,0.11
Índice de Cobertura (nº de plazas/población>=65)*100.,3.36,3.35,3.3,3.51,3.53,3.33,Plazas de financiación pública,2.08,2.06,2.45,2.47,2.45,2.56
Índice de Cobertura (nº de plazas/población>=65)*100.,1.42,1.36,1.38,1.12,1.32,1.47,Plazas de financiación privada,2.45,2.35,1.95,1.92,1.85,1.75
Índice de Cobertura (nº de plazas/población>=65)*100.,3.33,3.33,3.28,3.49,3.5,3.31,Plazas de financiación pública. Residencias,2.07,2.0,2.4,2.41,2.4,2.52
Índice de Cobertura (nº de plazas/población>=65)*100.,1.42,1.36,1.38,1.12,1.32,1.47,Plazas de financiación privada. Residencias,2.33,2.3,1.9,1.86,1.8,1.69
Índice de Cobertura (nº de plazas/población>=65)*100.,0.03,0.03,0.03,0.03,0.03,0.03,Plazas de financiación pública.Viviendas,0.01,0.05,0.05,0.05,0.06,0.05
Ocupación,2.96,2.89,3.11,3.49,3.5,3.23,Tasa de ocupación (usuarios/población>=65)*100.,2.8,2.69,3.43,3.46,3.15,3.1
Ocupación,62.26,61.65,66.87,75.76,72.18,67.18,Índice de ocupación (usuarios/plazas)*100.,63.63,62.47,79.83,80.9,72.64,71.61
Tamaño medio,95.57,92.73,93.43,92.23,95.46,96.19,Centros Residenciales. Tamaño medio de los centros (Nº medio de plazas por centro),67.69,68.36,69.11,69.11,69.53,69.85
Tamaño medio,11.0,11.0,11.0,11.0,11.0,11.0,Viviendas. Tamaño medio de los centros (Nº medio de plazas por centro),9.23,7.91,15.4,15.73,15.94,13.18
Titularidad,19.67,19.05,19.05,18.75,19.7,19.7,Porcentaje Centros públicos,33.36,33.94,26.87,27.22,27.82,29.73
Titularidad,80.33,80.95,80.95,81.25,80.3,80.3,Porcentaje Centros privados,66.64,66.06,73.13,72.78,72.18,70.27
Titularidad,70.23,71.09,70.49,75.9,72.58,69.42,Porcentaje plazas de financiación Pública,47.39,46.65,55.73,56.18,57.19,59.39
Titularidad,29.77,28.91,29.51,24.1,27.42,30.58,Porcentaje plazas de financiación Privada,55.73,53.35,44.27,43.66,42.81,40.61
Distribuciones por edad y sexo. Centros Residenciales,25.09,42.86,31.61,32.57,34.82,33.47,Porcentaje de usuarios. Hombres,30.58,35.69,30.45,30.97,29.43,29.56
Distribuciones por edad y sexo. Centros Residenciales,74.91,57.14,68.39,67.43,65.18,66.53,Porcentaje de usuarios. Mujeres,69.42,64.31,69.55,69.03,70.57,70.44
Distribuciones por edad y sexo. Centros Residenciales,,,19.02,18.58,20.34,21.7,Porcentaje usuarios de 65 a 79 sobre total 65 y +,,,22.46,23.35,20.47,18.2
Distribuciones por edad y sexo. Centros Residenciales,,,34.08,32.83,36.6,36.6,Porcentaje usuarios de 65 a 79 sobre total 65 y +. Hombres,,,50.97,49.1,45.86,46.59
Distribuciones por edad y sexo. Centros Residenciales,,,65.92,67.17,63.4,63.4,Porcentaje usuarios de 65 a 79 sobre total 65 y +. Mujeres,,,49.03,50.9,54.14,53.41
Distribuciones por edad y sexo. Centros Residenciales,78.9,80.79,80.98,81.42,79.66,78.3,Porcentaje usuarios de 80 año y más sobre total 65 y +,67.09,68.55,77.54,76.65,79.53,81.8
Distribuciones por edad y sexo. Centros Residenciales,21.19,33.33,31.03,32.51,34.37,32.61,Porcentaje usuarios de 80 años y más sobre total 65 y +. Hombres,23.0,23.98,24.51,25.44,25.21,25.77
Distribuciones por edad y sexo. Centros Residenciales,78.81,66.67,68.97,67.49,65.63,67.39,Porcentaje usuarios de 80 años y más sobre total 65 y +. Mujeres,77.0,76.02,75.49,74.56,74.79,74.23
Precio público anual. Centros Residenciales,16502.56,16502.56,16502.56,16502.56,17189.14,17071.56,Precio en euros por por año y usuario,18000.65,17584.93,16502.56,17859.06,17657.41,18182.52
Precio público anual. Centros Residenciales,6427.96,7652.26,7633.57,7682.85,7855.88,7872.23,Aportación promedio del usuario/a. €/año/Usuario,6104.99,8005.09,7633.57,7263.89,9866.25,7715.58
Precio público anual. Centros Residenciales,38.95,46.37,46.26,46.56,45.7,46.11,Aportación promedio del usuario/a. Porcentaje sobre el precio,33.92,45.52,46.26,40.67,55.88,42.43
Precio de concentración anual. Centros Residenciales,16502.56,16502.56,16000.51,16502.56,17189.14,17071.56,Precio en euros por año y usuario,18931.86,19154.01,17224.54,19129.18,18650.23,19184.07
Precio de concentración anual. Centros Residenciales,6427.96,7652.26,6822.43,7682.85,7855.88,7872.23,Aportación promedio del usuario/a. €/año/Usuario,5882.83,6574.9,6205.09,6980.49,7023.84,7403.15
Precio de concentración anual. Centros Residenciales,38.95,46.37,42.64,46.56,45.7,46.11,Aportación promedio del usuario/a. Porcentaje sobre el precio,31.07,34.33,36.02,36.49,37.66,38.59
